Designator,Footprint,Quantity,Value,LCSC Part #
"BAT+1, BAT-1",BAT-SMD_MY-AA-04,2,MY-AA-04,C2979179
BZ1,BUZ-SMD_4P-L8.5-W8.5_FUET-8530-05,1,Buzzer,C49246949
C10,C_0402,1,4.7uF,C23733
C2,C_0402,1,1uF,C52923
"C3, C5, C7, C8",C_0603,4,10uF,C19702
C4,402,1,C4 DNP,
C6,C_0603,1,47nF,C1622
D1,D_0805,1,Red,C84256
D2,D_0805,1,Green,C2297
D3,SMA_L4.4-W2.8-LS5.4-R-RD,1,SS54_C22452,C22452
D4,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
L1,L_0805,1,"1uH,1A",C1042
"Q1, Q2",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,2,SI2302,C15127
"R13, R14, R23",R_0402,3,2.2kΩ,C25879
R15,R_0402,1,1MΩ,C26083
"R16, R17",R_0603,2,0R,C21189
R18,R_0603,1,39kΩ,C23153
R19,R_0603,1,5.6kΩ,C23189
R20,R_0402,1,330Ω,C25104
R22,R_0402,1,680Ω,C25130
"SW1, SW2",SW-SMD_MK-11C04-G013,2,K3-1235S,C778185
TH1,PinHeader_1x02_P2.00mm_Vertical,1,Thermistor_NTC 103AT,103AT-4-70374
U1,XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,102010448
U2,Wio SX1262,1,Wio-SX1262,Wio-SX1262
U3,MF254RS-11-04-0743 XFCN 4 Pin Machined Header,1,M20-7910442R,MF254RS-11-04-0743
U5,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.8,1,BQ25606RGER,C374063
,,,,
Case Inserts,M3*4*4.5 Heat Set Inserts,2,,
Screws,M3*10mm socket cap screws,2,,
